모둠코드,유산이름,국가·정치체,자료종류,시기,정확한연도,발견·출토지역,소장·관리기관,확인된사실,자료상태,출처기관,출처URL,확인날짜
2모둠,백제 금동대향로,백제,공예품,6세기,,충청남도 부여,국립부여박물관,산봉우리·악사·여러 동물이 함께 표현되어 있다,확인됨,국립부여박물관,https://buyeo.museum.go.kr/,수업용 예시
2모둠,백제 금동대향로,백제,기록 유물,6세기,567,충청남도 부여,국립부여박물관,같은 절터에서 나온 사리감에 567년에 만든 기록이 있다,확인됨,국립부여박물관,https://buyeo.museum.go.kr/,수업용 예시
2모둠,백제 금동대향로,백제,발굴 기록,6세기,1993,충청남도 부여,국립부여박물관,진흙 속에서 발견되어 보존 상태가 좋았다,확인됨,국립부여박물관,https://buyeo.museum.go.kr/,수업용 예시
2모둠,백제 금동대향로,백제,제작 방법,6세기,,충청남도 부여,국립부여박물관,구리에 금을 입힌 금동 기법으로 만들었다,확인됨,국립부여박물관,https://buyeo.museum.go.kr/,수업용 예시
2모둠,백제 금동대향로,백제,사용 방법,6세기,,충청남도 부여,국립부여박물관,어떤 의식에서 어떻게 사용했는지는 확정하기 어렵다,판단 보류,국립부여박물관,https://buyeo.museum.go.kr/,수업용 예시
2모둠,백제 금동대향로,백제,지정 기록,6세기,1996,충청남도 부여,국가유산청,국보로 지정되었다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
2모둠,백제 금동대향로,백제,제작 장소,6세기,,충청남도 부여,국립부여박물관,어느 공방에서 만들었는지는 기록이 없다,판단 보류,국립부여박물관,https://buyeo.museum.go.kr/,수업용 예시
3모둠,첨성대,신라,석조 건축,7세기,,경상북도 경주,국가유산청,선덕여왕 때 세운 것으로 전해진다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
3모둠,첨성대,신라,석조 건축,7세기,,경상북도 경주,국가유산청,높이 약 9.1m로 돌을 층층이 쌓아 만들었다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
3모둠,첨성대,신라,석조 건축,7세기,,경상북도 경주,국가유산청,몸통 가운데에 네모난 창이 나 있다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
3모둠,첨성대,신라,옛 기록,7세기,,경상북도 경주,국가유산청,삼국유사에 첨성대를 쌓았다는 기록이 있다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
3모둠,첨성대,신라,지정 기록,7세기,1962,경상북도 경주,국가유산청,국보로 지정되었다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
3모둠,첨성대,신라,사용 방법,7세기,,경상북도 경주,국가유산청,어디로 올라가 어떻게 관측했는지는 여러 견해가 있다,판단 보류,국가유산청,https://www.heritage.go.kr/,수업용 예시
3모둠,첨성대,신라,건축 목적,7세기,,경상북도 경주,국가유산청,하늘을 관측하는 일과 관련된 시설로 본다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
3모둠,첨성대,신라,보존 상태,7세기,,경상북도 경주,국가유산청,오랜 세월이 지나며 위쪽 일부가 기울어졌다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
3모둠,첨성대,신라,등재 기록,7세기,2000,경상북도 경주,유네스코,경주역사유적지구의 하나로 세계유산에 등재되었다,확인됨,유네스코,https://whc.unesco.org/,수업용 예시
3모둠,첨성대,신라,건축 의미,7세기,,경상북도 경주,국가유산청,관측 외에 다른 상징적 의미가 있었는지는 확정하기 어렵다,판단 보류,국가유산청,https://www.heritage.go.kr/,수업용 예시
4모둠,신라 금관,신라,장신구,5~6세기,1921,경상북도 경주,국립경주박물관,금관총에서 처음으로 신라 금관이 발견되었다,확인됨,국립경주박물관,https://gyeongju.museum.go.kr/,수업용 예시
4모둠,신라 금관,신라,장신구,5~6세기,1926,경상북도 경주,국립중앙박물관,서봉총에서도 금관이 출토되었다,확인됨,국립중앙박물관,https://www.museum.go.kr/,수업용 예시
4모둠,신라 금관,신라,장신구,5~6세기,1973,경상북도 경주,국립경주박물관,천마총 발굴에서 금관이 출토되었다,확인됨,국립경주박물관,https://gyeongju.museum.go.kr/,수업용 예시
4모둠,신라 금관,신라,장신구,5~6세기,1974,경상북도 경주,국립중앙박물관,황남대총에서도 금관이 나왔다,확인됨,국립중앙박물관,https://www.museum.go.kr/,수업용 예시
4모둠,신라 금관,신라,장신구,5~6세기,,경상북도 경주,국립중앙박물관,나뭇가지와 사슴뿔 모양의 세움 장식이 있다,확인됨,국립중앙박물관,https://www.museum.go.kr/,수업용 예시
4모둠,신라 금관,신라,재료,5~6세기,,경상북도 경주,국립중앙박물관,얇은 금판에 굽은옥과 둥근 달개를 매달아 만들었다,확인됨,국립중앙박물관,https://www.museum.go.kr/,수업용 예시
4모둠,신라 금관,신라,출토 위치,5~6세기,,경상북도 경주,국립경주박물관,왕릉급 큰 무덤의 부장품으로 발견되었다,확인됨,국립경주박물관,https://gyeongju.museum.go.kr/,수업용 예시
4모둠,신라 금관,신라,사용 방법,5~6세기,,경상북도 경주,국립중앙박물관,살아 있을 때 실제로 썼는지는 여러 견해가 있다,판단 보류,국립중앙박물관,https://www.museum.go.kr/,수업용 예시
4모둠,신라 금관,신라,출토 현황,5~6세기,,경상북도 경주,국립경주박물관,경주의 큰 무덤 여러 곳에서 금관이 확인되었다,확인됨,국립경주박물관,https://gyeongju.museum.go.kr/,수업용 예시
4모둠,신라 금관,신라,제작 방법,5~6세기,,경상북도 경주,국립중앙박물관,어느 공방에서 누가 만들었는지는 기록이 없다,판단 보류,국립중앙박물관,https://www.museum.go.kr/,수업용 예시
5모둠,고구려 고분벽화,고구려,무덤 벽화,4~7세기,,중국 지린성 지안,유네스코,무용총에는 춤추는 사람들과 사냥 장면이 그려져 있다,확인됨,유네스코,https://whc.unesco.org/,수업용 예시
5모둠,고구려 고분벽화,고구려,무덤 벽화,4~7세기,357,북한 황해남도 안악,유네스코,안악 3호분에는 357년에 쓴 글이 남아 있다,확인됨,유네스코,https://whc.unesco.org/en/list/1091/,수업용 예시
5모둠,고구려 고분벽화,고구려,무덤 벽화,4~7세기,408,북한 남포,유네스코,덕흥리 벽화분에는 408년의 기록이 남아 있다,확인됨,유네스코,https://whc.unesco.org/en/list/1091/,수업용 예시
5모둠,고구려 고분벽화,고구려,무덤 벽화,4~7세기,,북한 남포,유네스코,강서대묘에는 상상 속 네 방위 동물 그림(사신도)이 있다,확인됨,유네스코,https://whc.unesco.org/en/list/1091/,수업용 예시
5모둠,고구려 고분벽화,고구려,생활 자료,4~7세기,,북한과 중국 동북 지역,유네스코,벽화에서 옷차림·집·수레의 모습을 볼 수 있다,확인됨,유네스코,https://whc.unesco.org/,수업용 예시
5모둠,고구려 고분벽화,고구려,등재 기록,4~7세기,2004,북한 평양·남포 일대,유네스코,북한의 고구려 고분군이 세계유산에 등재되었다,확인됨,유네스코,https://whc.unesco.org/en/list/1091/,수업용 예시
5모둠,고구려 고분벽화,고구려,등재 기록,4~7세기,2004,중국 지린성 지안 일대,유네스코,중국의 고구려 유적도 같은 해 세계유산에 등재되었다,확인됨,유네스코,https://whc.unesco.org/,수업용 예시
5모둠,고구려 고분벽화,고구려,자료 범위,4~7세기,,북한과 중국 동북 지역,유네스코,왕족·귀족 무덤의 모습을 모든 사람의 생활로 일반화할 수 없다,주의,유네스코,https://whc.unesco.org/en/list/1091/,수업용 예시
5모둠,고구려 고분벽화,고구려,보존 상태,4~7세기,,북한과 중국 동북 지역,유네스코,습기 때문에 색이 바래는 벽화가 있다,확인됨,유네스코,https://whc.unesco.org/,수업용 예시
5모둠,고구려 고분벽화,고구려,그림 의미,4~7세기,,북한과 중국 동북 지역,유네스코,일부 장면이 어떤 의식을 그린 것인지는 확정하기 어렵다,판단 보류,유네스코,https://whc.unesco.org/,수업용 예시
6모둠,가야 고분군,가야,고분군,1~6세기,2023,영남과 호남 동부의 일곱 지역,유네스코,일곱 고분군이 하나의 연속유산으로 세계유산에 등재되었다,확인됨,유네스코,https://whc.unesco.org/,수업용 예시
6모둠,가야 고분군,가야,고분군,1~6세기,,경상남도 김해,국가유산청,대성동 고분군은 금관가야의 중심 고분군이다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
6모둠,가야 고분군,가야,고분군,1~6세기,,경상북도 고령,국가유산청,지산동 고분군은 대가야의 중심 고분군이다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
6모둠,가야 고분군,가야,고분군,1~6세기,,경상남도 함안,국가유산청,말이산 고분군은 아라가야의 고분군이다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
6모둠,가야 고분군,가야,고분군,1~6세기,,전북 남원,국가유산청,유곡리와 두락리 고분군은 가야 문화가 남원까지 미쳤음을 보여 준다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
6모둠,가야 고분군,가야,출토 유물,1~6세기,,경상남도 김해,국립김해박물관,대성동에서 철제 갑옷과 덩이쇠가 출토되었다,확인됨,국립김해박물관,https://gimhae.museum.go.kr/,수업용 예시
6모둠,가야 고분군,가야,출토 유물,1~6세기,,경상남도 함안,국립김해박물관,말이산에서 불꽃무늬 구멍이 뚫린 토기가 출토되었다,확인됨,국립김해박물관,https://gimhae.museum.go.kr/,수업용 예시
6모둠,가야 고분군,가야,무덤 방식,1~6세기,,경상북도 고령,국가유산청,지산동 대형 무덤에서 순장의 흔적이 확인되었다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
6모둠,가야 고분군,가야,정치 형태,1~6세기,,영남 여러 지역,국가유산청,여러 세력이 각자의 힘을 유지한 연맹으로 이해한다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
6모둠,가야 고분군,가야,정치 형태,1~6세기,,영남 여러 지역,국가유산청,각 세력 사이의 정확한 관계는 기록이 적어 확정하기 어렵다,판단 보류,국가유산청,https://www.heritage.go.kr/,수업용 예시
